genre,name,description,classification
Anesthesiology,manual algesimeter,"a manual algesimeter is a mechanical device intended to determine a patient's sensitivity to pain after administration of an anesthetic agent, e.g., by pricking with a sharp point.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9. the device is also exempt from the current good manufacturing practice requirements of the quality system regulation in part 820 of this chapter, with the exception of § 820.180, with respect to general requirements concerning records, and § 820.198, with respect to complaint files.
[54 fr 25048, june 12, 1989, as amended at 66 fr 38793, july 25, 2001]"
Anesthesiology,powered algesimeter,a powered algesimeter is a device using electrical stimulation intended to determine a patient's sensitivity to pain after administration of an anesthetic agent.,"class ii (special controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 84 fr 71811, dec. 30, 2019]"
Anesthesiology,argon gas analyzer,an argon gas analyzer is a device intended to measure the concentration of argon in a gas mixture to aid in determining the patient's ventilatory status. the device may use techniques such as mass spectrometry or thermal conductivity.,class ii (performance standards).
Anesthesiology,arterial blood sampling kit,"an arterial blood sampling kit is a device, in kit form, used to obtain arterial blood samples from a patient for blood gas determinations. the kit may include a syringe, needle, cork, and heparin.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38793, july 25, 2001]"
Anesthesiology,indwelling blood oxyhemoglobin concentration analyzer,"an indwelling blood oxyhemoglobin concentration analyzer is a photoelectric device used to measure, in vivo, the oxygen-carrying capacity of hemoglobin in blood to aid in determining the patient's physiological status.","class iii (premarket approval).
(c) date pma or notice of completion of pdp is required. a pma or notice of completion of a pdp is required to be filed with the food and drug administration on or before september 21, 2004, for any indwelling blood oxyhemoglobin concentration analyzer that was in commercial distribution before may 28, 1976, or that has, on or before september 21, 2004, been found to be substantially equivalent to an indwelling blood oxyhemoglobin concentration analyzer that was in commercial distribution before may 28, 1976. any other indwelling blood oxyhemoglobin concentration analyzer shall have an approved pma or declared completed pdp in effect before being placed in commercial distribution.
[47 fr 31142, july 16, 1982, as amended at 52 fr 17735, may 11, 1987; 52 fr 22577, june 12, 1987; 69 fr 34920, june 23, 2004]"
Anesthesiology,indwelling blood carbon dioxide partial pressure (p2co2) analyzer,"an indwelling blood carbon dioxide partial pressure pco2 analyzer is a device that consists of a catheter-tip pco2 transducer (e.g., pco2 electrode) and that is used to measure, in vivo, the partial pressure of carbon dioxide in blood to aid in determining the patient's circulatory, ventilatory, and metabolic status.","class ii (special controls). the special control for this device is fda's ""class ii special controls guidance document: indwelling blood gas analyzers; final guidance for industry and fda.""
[47 fr 31142, july 16, 1982; 47 fr 40410, sept. 14, 1982, as amended at 52 fr 17735, may 11, 1987; 66 fr 57368, nov. 15, 2001]"
Anesthesiology,indwelling blood hydrogen ion concentration (ph) analyzer,"an indwelling blood hydrogen ion concentration (ph) analyzer is a device that consists of a catheter-tip ph electrode and that is used to measure, in vivo, the hydrogen ion concentration (ph) in blood to aid in determining the patient's acid-base balance.","class ii (special controls). the special control for this device is fda's ""class ii special controls guidance document: indwelling blood gas analyzers; final guidance for industry and fda.""
[47 fr 31142, july 16, 1982, as amended at 52 fr 17735, may 11, 1987; 66 fr 57368, nov. 15, 2001]"
Anesthesiology,indwelling blood oxygen partial pressure (po2) analyzer,"an indwelling blood oxygen partial pressure (po2) analyzer is a device that consists of a catheter-tip po2 transducer (e.g., po2 electrode) and that is used to measure, in vivo, the partial pressure of oxygen in blood to aid in determining the patient's circulatory, ventilatory, and metabolic status.","class ii (special controls). the special control for this device is fda's ""class ii special controls guidance document: indwelling blood gas analyzers; final guidance for industry and fda.""
[47 fr 31142, july 16, 1982; 47 fr 40410, sept. 14, 1982, as amended at 52 fr 17735, may 11, 1987; 66 fr 57368, nov. 15, 2001]"
Anesthesiology,carbon dioxide gas analyzer,"a carbon dioxide gas analyzer is a device intended to measure the concentration of carbon dioxide in a gas mixture to aid in determining the patient's ventilatory, circulatory, and metabolic status. the device may use techniques such as chemical titration, absorption of infrared radiation, gas chromatography, or mass spectrometry.",class ii (performance standards).
Anesthesiology,carbon monoxide gas analyzer,a carbon monoxide gas analyzer is a device intended to measure the concentration of carbon monoxide in a gas mixture to aid in determining the patient's ventilatory status. the device may use techniques such as infrared absorption or gas chromatography.,class ii (performance standards).
